ticker_code,stock_code,stock_name,market
6965.TW,6965,中傑-KY,TWSE
6967.TW,6967,汎瑋材料,TPEx
6968.TW,6968,萬達寵物,TPEx
6969.TW,6969,成信實業*-創,TWSE
6971.TW,6971,惠民實業,TPEx
6982.TW,6982,大井泵浦,TPEx
6988.TW,6988,威力暘-創,TWSE
6994.TW,6994,富威電力,TWSE
6996.TW,6996,力領科技,TPEx
6997.TW,6997,博弘,TPEx
7402.TW,7402,邑錡,TPEx
7547.TW,7547,碩網,TPEx
7556.TW,7556,意德士科技,TPEx
7584.TW,7584,樂意,TPEx
7610.TW,7610,聯友金屬-創,TWSE
7631.TW,7631,聚賢研發-創,TWSE
7642.TW,7642,昶瑞機電,TPEx
7703.TW,7703,銳澤,TPEx
7704.TW,7704,明遠精密,TPEx
7705.TW,7705,三商餐飲,TWSE
7708.TW,7708,全家餐飲,TPEx
7709.TW,7709,榮田,TPEx
7711.TW,7711,永擎,TWSE
7712.TW,7712,博盛半導體,TPEx
7713.TW,7713,威力德生醫,TPEx
7714.TW,7714,創泓科技,TPEx
7715.TW,7715,裕山,TPEx
7716.TW,7716,昱臺國際,TPEx
7717.TW,7717,萊德光電-KY,TPEx
7718.TW,7718,友鋮,TPEx
7721.TW,7721,微程式,TWSE
7722.TW,7722,LINEPAY,TWSE
7723.TW,7723,築間,TPEx
7728.TW,7728,光焱科技,TPEx
7730.TW,7730,暉盛-創,TWSE
7732.TW,7732,金興精密,TWSE
7734.TW,7734,印能科技,TPEx
7736.TW,7736,虎山,TWSE
7738.TW,7738,東聯互動,TPEx
7740.TW,7740,熙特爾-創,TWSE
7743.TW,7743,金利食安,TPEx
7744.TW,7744,崴寶,TPEx
7747.TW,7747,昕奇雲端,TPEx
7749.TW,7749,意騰-KY,TWSE
7750.TW,7750,新代,TWSE
7751.TW,7751,竑騰,TPEx
7753.TW,7753,星亞,TPEx
7757.TW,7757,金色三麥,TPEx
7760.TW,7760,享溫馨,TWSE
7765.TW,7765,中華資安,TWSE
7767.TW,7767,仁大資訊,TPEx
7768.TW,7768,頌勝科技,TWSE
7769.TW,7769,鴻勁,TWSE
7770.TW,7770,君曜,TPEx
7772.TW,7772,耀穎,TPEx
7777.TW,7777,能率亞洲,TPEx
7780.TW,7780,大研生醫*,TWSE
7782.TW,7782,光速火箭,TPEx
7786.TW,7786,東方風能,TWSE
7788.TW,7788,松川精密,TWSE
7791.TW,7791,皇家可口,TWSE
7792.TW,7792,安葆,TPEx
7794.TW,7794,宏碁智新,TPEx
7795.TW,7795,長廣,TWSE
7799.TW,7799,禾榮科,TWSE
7805.TW,7805,威聯通,TPEx
7810.TW,7810,捷創科技,TPEx
7811.TW,7811,民盛,TPEx
7820.TW,7820,立盈,TPEx
7821.TW,7821,神數,TWSE
7822.TW,7822,倍利科,TWSE
7823.TW,7823,奧義賽博-KY創,TWSE
7828.TW,7828,創新服務,TPEx
7842.TW,7842,天能綠電,TPEx
8011.TW,8011,台通,TWSE
8016.TW,8016,矽創,TWSE
8021.TW,8021,尖點,TWSE
8024.TW,8024,佑華,TPEx
8027.TW,8027,鈦昇,TPEx
8028.TW,8028,昇陽半導體,TWSE
8032.TW,8032,光菱,TPEx
8033.TW,8033,雷虎,TWSE
8034.TW,8034,榮群,TPEx
8038.TW,8038,長園科,TPEx
8039.TW,8039,台虹,TWSE
8040.TW,8040,九暘,TPEx
8042.TW,8042,金山電,TPEx
8043.TW,8043,蜜望實,TPEx
8044.TW,8044,網家,TPEx
8045.TW,8045,達運光電,TWSE
8046.TW,8046,南電,TWSE
8047.TW,8047,星雲,TPEx
8048.TW,8048,德勝,TPEx
8049.TW,8049,晶采,TPEx
8050.TW,8050,廣積,TPEx
8054.TW,8054,安國,TPEx
8059.TW,8059,凱碩,TPEx
8064.TW,8064,東捷,TPEx
8066.TW,8066,來思達,TPEx
8067.TW,8067,志旭,TPEx
8068.TW,8068,全達,TPEx
8069.TW,8069,元太,TPEx
8070.TW,8070,長華*,TWSE
8071.TW,8071,能率網通,TPEx
8072.TW,8072,陞泰,TWSE
8074.TW,8074,鉅橡,TPEx
8076.TW,8076,伍豐,TPEx
8077.TW,8077,洛碁,TPEx
8080.TW,8080,泰霖,TPEx
8081.TW,8081,致新,TWSE
8083.TW,8083,瑞穎,TPEx
8084.TW,8084,巨虹,TPEx
8085.TW,8085,福華,TPEx
8086.TW,8086,宏捷科,TPEx
8087.TW,8087,麗升能源,TPEx
8088.TW,8088,品安,TPEx
8089.TW,8089,康全電訊,TPEx
8091.TW,8091,翔名,TPEx
8092.TW,8092,建暐,TPEx
8093.TW,8093,保銳,TPEx
8096.TW,8096,擎亞,TPEx
8097.TW,8097,常珵,TPEx
8099.TW,8099,大世科,TPEx
8101.TW,8101,華冠,TWSE
8102.TW,8102,傑霖科技,TPEx
8103.TW,8103,瀚荃,TWSE
8104.TW,8104,錸寶,TWSE
8105.TW,8105,凌巨,TWSE
8107.TW,8107,大億金茂,TPEx
8109.TW,8109,博大,TPEx
8110.TW,8110,華東,TWSE
8111.TW,8111,立碁,TPEx
8112.TW,8112,至上,TWSE
8114.TW,8114,振樺電,TWSE
8121.TW,8121,越峰,TPEx
8131.TW,8131,福懋科,TWSE
8147.TW,8147,正淩,TPEx
8150.TW,8150,南茂,TWSE
8155.TW,8155,博智,TPEx
8162.TW,8162,微矽電子-創,TWSE
8163.TW,8163,達方,TWSE
8171.TW,8171,天宇,TPEx
8176.TW,8176,智捷,TPEx
8182.TW,8182,加高,TPEx
8183.TW,8183,精星,TPEx
8201.TW,8201,無敵,TWSE
8210.TW,8210,勤誠,TWSE
8213.TW,8213,志超,TWSE
8215.TW,8215,明基材,TWSE
8222.TW,8222,寶一,TWSE
8227.TW,8227,巨有科技,TPEx
8234.TW,8234,新漢,TPEx
8240.TW,8240,華宏,TPEx
8249.TW,8249,菱光,TWSE
8255.TW,8255,朋程,TPEx
8261.TW,8261,富鼎,TWSE
8271.TW,8271,宇瞻,TWSE
8272.TW,8272,全景軟體,TPEx
8277.TW,8277,商丞,TPEx
8279.TW,8279,生展,TPEx
8284.TW,8284,三竹,TPEx
8289.TW,8289,泰藝,TPEx
8291.TW,8291,尚茂,TPEx
8299.TW,8299,群聯,TPEx
8341.TW,8341,日友,TWSE
8342.TW,8342,益張,TPEx
8349.TW,8349,恒耀國際,TPEx
8354.TW,8354,冠好,TPEx
8358.TW,8358,金居,TPEx
8367.TW,8367,建新國際,TWSE
8374.TW,8374,羅昇,TWSE
8383.TW,8383,千附,TPEx
8390.TW,8390,金益鼎,TPEx
8401.TW,8401,白紗科,TPEx
8403.TW,8403,盛弘,TPEx
8404.TW,8404,百和興業-KY,TWSE
8409.TW,8409,商之器,TPEx
8410.TW,8410,森田,TPEx
8411.TW,8411,福貞-KY,TWSE
8415.TW,8415,大國鋼,TPEx
8416.TW,8416,實威,TPEx
8421.TW,8421,旭源,TPEx
8422.TW,8422,可寧衛*,TWSE
8423.TW,8423,保綠-KY,TPEx
8424.TW,8424,惠普,TPEx
8426.TW,8426,紅木-KY,TPEx
8429.TW,8429,金麗-KY,TWSE
8431.TW,8431,匯鑽科,TPEx
8432.TW,8432,東生華,TPEx
8433.TW,8433,弘帆,TPEx
8435.TW,8435,鉅邁,TPEx
8436.TW,8436,大江,TPEx
8437.TW,8437,大地-KY,TPEx
8438.TW,8438,昶昕,TWSE
8440.TW,8440,綠電,TPEx
8442.TW,8442,威宏-KY,TWSE
8443.TW,8443,阿瘦,TWSE
8444.TW,8444,綠河-KY,TPEx
8446.TW,8446,華研,TPEx
8450.TW,8450,霹靂,TPEx
8454.TW,8454,富邦媒,TWSE
8455.TW,8455,大拓-KY,TPEx
8462.TW,8462,柏文,TWSE
8463.TW,8463,潤泰材,TWSE
8464.TW,8464,億豐,TWSE
8466.TW,8466,美吉吉-KY,TWSE
8467.TW,8467,波力-KY,TWSE
8472.TW,8472,夠麻吉,TPEx
8473.TW,8473,山林水,TWSE
8476.TW,8476,台境*,TWSE
8477.TW,8477,創業家,TPEx
8478.TW,8478,東哥遊艇,TWSE
8481.TW,8481,政伸,TWSE
8482.TW,8482,商億-KY,TWSE
8487.TW,8487,愛爾達-創,TWSE
8488.TW,8488,吉源-KY,TWSE
8489.TW,8489,三貝德,TPEx
8499.TW,8499,鼎炫-KY,TWSE
8905.TW,8905,裕國,TPEx
8906.TW,8906,花王,TPEx
8908.TW,8908,欣雄,TPEx
8916.TW,8916,光隆,TPEx
8917.TW,8917,欣泰,TPEx
8921.TW,8921,沈氏,TPEx
8923.TW,8923,時報,TPEx
8924.TW,8924,大田,TPEx
8926.TW,8926,台汽電,TWSE
8927.TW,8927,北基,TPEx
8928.TW,8928,鉅明,TPEx
8929.TW,8929,富堡,TPEx
8930.TW,8930,青鋼,TPEx
8931.TW,8931,大汽電,TPEx
8932.TW,8932,智通*,TPEx
8933.TW,8933,愛地雅,TPEx
8935.TW,8935,邦泰,TPEx
8936.TW,8936,國統,TPEx
8937.TW,8937,合騏*,TPEx
8938.TW,8938,明安,TPEx
8940.TW,8940,新天地,TWSE
8941.TW,8941,關中,TPEx
8942.TW,8942,森鉅,TPEx
8996.TW,8996,高力,TWSE
9103.TW,9103,美德醫療-DR,TWSE
9105.TW,9105,泰金寶-DR,TWSE
9110.TW,9110,越南控-DR,TWSE
9136.TW,9136,巨騰-DR,TWSE
9802.TW,9802,鈺齊-KY,TWSE
9902.TW,9902,台火,TWSE
9904.TW,9904,寶成,TWSE
9905.TW,9905,大華,TWSE
9906.TW,9906,欣巴巴,TWSE
9907.TW,9907,統一實,TWSE
9908.TW,9908,大台北,TWSE
9910.TW,9910,豐泰,TWSE
9911.TW,9911,櫻花,TWSE
9912.TW,9912,偉聯,TWSE
9914.TW,9914,美利達,TWSE
9917.TW,9917,中保科,TWSE
9918.TW,9918,欣天然,TWSE
9919.TW,9919,康那香,TWSE
9921.TW,9921,巨大,TWSE
9924.TW,9924,福興,TWSE
9925.TW,9925,新保,TWSE
9926.TW,9926,新海,TWSE
9927.TW,9927,泰銘,TWSE
